Lista tags in plc4
sono stati raggruppati i tags  (vedi nmin..nmax)
----------------------------------------------------------------+-----------------------------------------------------------------------------------
Nome tag                                                        |Descrizione
PLCTAG_EN_Flap_Sciv_Scar_Bil_ri                                 |solo per PP110045
PLCTAG_EN_Antiad_Sciv_Sc_BilRAP                                 |solo per PP110045
PLCTAG_EN_Pes_Fill_2_Forzata                                    |
PLCTAG_AbilitaBlendingBitume                                    |
PLCTAG_EN_Silo_Solo_Diretto                                     |
PLCTAG_Pres_Selett_Scambio_B1B2                                 |
PLCTAG_TimeOutScaricoAggregati                                  |
PLCTAG_TimeOutScaricoFiller                                     |
PLCTAG_TimeOutScaricoLegante                                    |
PLCTAG_TimeOutScaricoLeganteGR                                  |
PLCTAG_TimeOutScaricoContalitri                                 |
PLCTAG_TimeOutScaricoRiciclato                                  |
PLCTAG_TimeOutScaricoViatop                                     |
PLCTAG_TimeOutScaricoMixer                                      |
PLCTAG_PermanenzaScaricoAggregati                               |
PLCTAG_PermanenzaScaricoFiller                                  |
PLCTAG_PermanenzaScaricoRiciclato                               |
PLCTAG_DB5_DBW588                                               |
PLCTAG_DB5_DBW590                                               |
PLCTAG_PermanenzaScaricoLeganteGR                               |
PLCTAG_SiloS7RitardoPosizionaSottoMixer                         |
PLCTAG_PercConsensoFillerRF                                     |
PLCTAG_PercConsensoAcquaRF                                      |
PLCTAG_GrigliaVibranteRic1..4RitardoStart                       |
PLCTAG_GrigliaVibranteRic1..4RitardoStop                        |
PLCTAG_VibratoriPredTempoOn                                     |
PLCTAG_VibratoriPredTempoOff                                    |
PLCTAG_VibratoriPredRicTempoOn                                  |
PLCTAG_VibratoriPredRicTempoOff                                 |
PLCTAG_SoffioAriaPredRicTempoOn                                 |
PLCTAG_SoffioAriaPredRicTempoOff                                |
PLCTAG_Tempo_Perm_Flap_Sc_Ric                                   |
PLCTAG_NrImpAttAntiadScarBilRic                                 |
PLCTAG_TempoSpruzAntiadScarBilR                                 |
PLCTAG_Tempo_On_Soffio_Silo_Filler                              |
PLCTAG_Tempo_Off_Soffio_Silo_Filler                             |
PLCTAG_Tempo_Rit_All_FC_Mixer                                   |Tecnobeton 20170221
PLCTAG_NumCampionamentiCalcoloFlusso                            |
PLCTAG_MinimoPesataVeloce_Kg                                    |
PLCTAG_PesataFineA1..6_Kg                                       |
PLCTAG_PesataFineRAP_Kg                                         |
PLCTAG_PesataFineNV_Kg                                          |
PLCTAG_CoefficienteGrossaFineA1..6_Kg                           |
PLCTAG_CoefficienteGrossaFineRAP_Kg                             |
PLCTAG_CoefficienteGrossaFineNV_Kg                              |
PLCTAG_CoefficienteFineChiusoA1..6_Kg                           |
PLCTAG_CoefficienteFineChiusoRAP_Kg                             |
PLCTAG_CoefficienteFineChiusoNV_Kg                              |
PLCTAG_CoefficienteGrossaChiusoA1..6_Kg                         |
PLCTAG_CoefficienteGrossaChiusoRAP_Kg                           |
PLCTAG_CoefficienteGrossaChiusoNV_Kg                            |
PLCTAG_MaxValKgAquablack                                        |
PLCTAG_DI_PortinaAggChiusa                                      |PLCTAG_INOUT
PLCTAG_DI_PortinaAggAperta                                      |
PLCTAG_DI_SicAggregati                                          |
PLCTAG_DI_AbilitaAggregati                                      |
PLCTAG_DO_PesataAgg1..9                                         |
PLCTAG_DO_PesataAggNV                                           |
PLCTAG_DO_ScaricoAggregati_Vers8_2                              |
PLCTAG_AI_BilanciaAggregati                                     |
PLCTAG_DO_PesataEXTAgg1..7                                      |
PLCTAG_DO_PesataEXTAggNV                                        |
PLCTAG_DO_PesataEXTAggNV2                                       |
PLCTAG_ScambioPesataTramoggione                                 |
PLCTAG_DI_PortFillBil1Ch                                        |FC scarico bilancia filler
PLCTAG_DI_PortFillBil1Ap                                        |FC scarico bilancia filler
PLCTAG_DI_PortFillBil2Ch                                        |FC scarico seconda bilancia filler
PLCTAG_DI_PortFillBil2Ap                                        |FC scarico seconda bilancia filler
PLCTAG_DI_SicFiller                                             |
PLCTAG_DI_AbilitaFiller                                         |
PLCTAG_DO_PesataFill1..4                                        |
PLCTAG_DO_ScaricoFiller_Vers8_2                                 |
PLCTAG_DI_TermVibrScarBilFil                                    |DB46.DBX23.3 Termica vibratore scarico bilancia filler
PLCTAG_DI_TermIntroFillerMix                                    |DB46.DBX23.4 Termica introduzione filler nel mescolatore
PLCTAG_AI_BilanciaFiller                                        |db46.dbw24
PLCTAG_DO_PesataEXTFill1..3                                     |
PLCTAG_DO_ApertTuboTroppoPienoF1                                |DB46.DBX26.3
PLCTAG_DI_ScambioFillerRecuperoInApporto_CH                     |DB46.DBX26.4
PLCTAG_AO_VelocitaCocleaPesataF1..3                             |DB46.DBW28
PLCTAG_DI_ValvLegChiusa                                         |db46.dbx44.0
PLCTAG_DI_ValvLegAperta                                         |
PLCTAG_DI_SicLegante                                            |
PLCTAG_DI_AbilitaBitume                                         |
PLCTAG_DI_PompaLeganteON                                        |
PLCTAG_DO_PesataLegante1                                        |
PLCTAG_DO_PesataLegante2                                        |
PLCTAG_DO_PesataLegante3                                        |
PLCTAG_DO_ScambioB1                                             |
PLCTAG_DO_ScaricoLegante_Vers8_2                                |
PLCTAG_DI_SicurezzaGalleggianteB2                               |
PLCTAG_DI_SicurezzaGalleggianteB3                               |
PLCTAG_DO_ScambioB2                                             |
PLCTAG_DI_FC_Valv3Vie_Schiumato_norm                            |
PLCTAG_DI_FC_Valv3Vie_Schiumato_Soft                            |
PLCTAG_DI_Valv3VieSpruzzatriceVersoTorre                        |DB46.DBX45.7
PLCTAG_DO_Valv3VieBitume2Emulsione                              |DB46.DBX48.0
PLCTAG_DI_Valv3VieBitume2EmulsioneVersoBitume2                  |DB46.DBX48.1
PLCTAG_DI_Valv3VieBitume2EmulsioneVersoEmulsione                |DB46.DBX48.2
PLCTAG_DO_invAddBacinella                                       |DB46.DBX48.3
PLCTAG_DI_FillerRecuperoAusiliarioInserito                      |DB46.DBX48.4
PLCTAG_AI_BilanciaLegante                                       |db46.dbw46
PLCTAG_DI_PortBilViatopChiusa                                   |db46.dbx66.0
PLCTAG_DI_PortBilViatAperta                                     |
PLCTAG_DI_SicViatop                                             |
PLCTAG_DI_AbilitaViatop                                         |
PLCTAG_DI_LivMinViatop                                          |
PLCTAG_DI_PresenzaMatCiclone                                    |
PLCTAG_DI_ScarCicloneChiuso                                     |
PLCTAG_DI_RitMotTrasport                                        |
PLCTAG_DI_TermMotTrasport                                       |
PLCTAG_DO_MotoreVentolaViatop                                   |
PLCTAG_DO_PesataViatop                                          |
PLCTAG_DO_ScaricoBilViatop_Vers8_2                              |
PLCTAG_DO_ScaricoCicloneViatop_Vers8_2                          |
PLCTAG_DI_Term_Vibr_Viatop                                      |
PLCTAG_AI_BilanciaViatop                                        |
PLCTAG_DI_portBilRicChiusa                                      |
PLCTAG_DI_portBilRicAperta                                      |
PLCTAG_DI_SicBilRic                                             |
PLCTAG_DI_AbilitaBilRiciclato                                   |
PLCTAG_DO_PesataBilRiciclato                                    |
PLCTAG_DO_ScaricoBilRiciclato_Vers8_2                           |
PLCTAG_DI_SicLivMaxTramRic                                      |DB46.DBX88.6
PLCTAG_AI_BilanciaRAP                                           |db46.dbw90
PLCTAG_AI_TamponeRiciclato                                      |db46.dbw92
PLCTAG_AI_LivTramogTampRic                                      |DB46.DBW94
PLCTAG_DO_Defl_Scar_Bil_Ric_RESERVED                            |DB46.DBX96.0
PLCTAG_FC_Defl_Scar_Bil_Ric_AP                                  |DB46.DBX96.1
PLCTAG_FC_Defl_Scar_Bil_Ric_CH                                  |DB46.DBX96.2
PLCTAG_DO_Antiadesivo_Sciv_Ric                                  |DB46.DBX96.3
PLCTAG_DI_SicurezzaTamponeRiciclatoCaldo                        |DB46.DBX96.4
PLCTAG_DI_PortinaMescChiusa                                     |
PLCTAG_DI_PortinaMescAperta                                     |
PLCTAG_DI_ConsScaricoMesc                                       |
PLCTAG_DI_MixerON                                               |
PLCTAG_DO_MescolaInCorso                                        |
PLCTAG_DO_ScaricoMesc_Vers8_2                                   |
PLCTAG_DO_SpruzzaAntiadesivoScivoloRiciclatoMixer               |
PLCTAG_DI_abilitaAdditivoMix                                    |
PLCTAG_DI_PompaAddMix                                           |
PLCTAG_DO_PompaAddMixer_Vers8_2                                 |
PLCTAG_DI_TermPompaAddMixer                                     |
PLCTAG_DI_PompaAcquaRitorno                                     |
PLCTAG_DO_PompaAcquaComando                                     |
PLCTAG_DI_PompaAcquaScattoTermica                               |
PLCTAG_DI_abilitaAdditivoLega                                   |
PLCTAG_DI_PompaAddLegante                                       |
PLCTAG_DO_PompaAddLegante_Vers8_2                               |
PLCTAG_DI_TermPompaAddLegante                                   |
PLCTAG_DI_PesataAddLegante                                      |
PLCTAG_DI_Valv_Add_leg_CH                                       |
PLCTAG_DO_Valv_Add_leg                                          |
PLCTAG_DI_Reset_man_Add_leg_CNT                                 |
PLCTAG_AO_PompaAddLegante                                       |
PLCTAG_DI_PortinaSacchiCh                                       |
PLCTAG_DI_PortinaSacchiAp                                       |
PLCTAG_Sacchi3_RIS                                              |
PLCTAG_Sacchi4_RIS                                              |
PLCTAG_DI_RitornoNastroSacchi                                   |
PLCTAG_DI_TermicaNastroSacchi                                   |
PLCTAG_DO_MotoreNastroSacchi_Vers8_2                            |
PLCTAG_DO_ConsensoIntroSacchi_Vers8_2                           |
PLCTAG_Sacchi9                                                  |
PLCTAG_Sacchi10                                                 |
PLCTAG_Sacchi11                                                 |
PLCTAG_Sacchi12                                                 |
PLCTAG_Sacchi13                                                 |
PLCTAG_Sacchi14                                                 |
PLCTAG_Sacchi15                                                 |
PLCTAG_Sacchi16                                                 |
PLCTAG_Sacchi17                                                 |
PLCTAG_Sacchi18                                                 |
PLCTAG_Sacchi19                                                 |
PLCTAG_Sacchi20                                                 |
PLCTAG_DI_GravitaValvScaricoCh                                  |
PLCTAG_DI_GravitaValvScaricoAp                                  |
PLCTAG_DI_GravitaSicurezza                                      |
PLCTAG_DI_Gravita_RIS1                                          |
PLCTAG_DI_Gravita_RIS2                                          |
PLCTAG_DO_GravitaPesataB1..7                                    |
PLCTAG_DI_Gravita_RIS3                                          |
PLCTAG_DO_GravitaScarico_Vers8_2                                |
PLCTAG_AO_GravitaVelocitaPompa                                  |
PLCTAG_DI_ContalitriValvolaPesataChiusa                         |
PLCTAG_DO_ContalitriPesata_Vers8_2                              |
PLCTAG_DI_ContalitriSicurezza                                   |
PLCTAG_DI_ContalitriAbilitazione                                |
PLCTAG_DI_ContalitriReset                                       |
PLCTAG_DI_Pesata_In_Corso_FLOM                                  |
PLCTAG_DI_AbilitaCompAux1                                       |
PLCTAG_DI_FinePesataCompAux1                                    |
PLCTAG_DI_FineScaricoCompAux1                                   |db46.dbx218.2
PLCTAG_DI_SIWA_Batch_PortinaChiusa                              |F.C. Portina Chiusa Siwarex RAP Freddo Batch (da DB46.DBX228.0 a DB46.DBX229.5)
PLCTAG_DI_SIWA_Batch_PortinaAperta                              |F.C. Portina Aperta
PLCTAG_XX_SIWA_Batch_RISERVA_228_2                              |Riservato per gestione interna del PLC
PLCTAG_DI_SIWA_Batch_RitornoNastro                              |Ritorno Effettivo del Nastro
PLCTAG_DI_SIWA_Batch_SicurezzaNastro                            |Sicurezza Effettiva del Nastro
PLCTAG_DO_SIWA_Batch_ComandoAvvioNastro                         |Start Effettivo al Nastro
PLCTAG_DI_SIWA_Batch_StartNastroDaSIWA                          |Start Nastro da SIWAREX (usato dal PLC per avvio effettivo del nastro)
PLCTAG_DI_SIWA_Batch_DosaggioInCorsoDaSIWA                      |Batch Active da SIWAREX
PLCTAG_DI_SIWA_Batch_DosaggioTerminatoDaSIWA                    |Batch End da SIWAREX (usato dal PLC per arresto effettivo del nastro)
PLCTAG_DO_SIWA_Batch_ComandoArrestoNastro                       |STOP Effetivo al NASTRO (lo da il PLC quando legge Batch End)
PLCTAG_DO_SIWA_Batch_StartCiclo                                 |Uscita collegata all'ingresso della SIWAREX per avviare il Batch
PLCTAG_DO_SIWA_Batch_AbortCiclo                                 |Uscita collegata all'ingresso della SIWAREX per abortire il Batch
PLCTAG_DO_SIWA_Batch_ComandoPortina                             |Comando di apertura portina davanti al nastro per immissione nel mixer
PLCTAG_DO_SIWA_Batch_ModalitaTaratura                           |Flag per abilitazione modalità taratura bilancia
PLCTAG_DO_SIWA_Batch_StartPesataSemiAuto                        |db46.dbx229.6 Start pesata semiautomatica rap freddo con SIWA da pc (con portine in manuale)
PLCTAG_AckAllarmiAggregati                                      |db46.dbx340.0
PLCTAG_AckAllarmiFiller                                         |
PLCTAG_AckAllarmiBitume                                         |
PLCTAG_AckAllarmiBitumeGravita                                  |
PLCTAG_AckAllarmiContalitri                                     |
PLCTAG_AckAllarmiRiciclato                                      |
PLCTAG_AckAllarmiViatop                                         |
PLCTAG_AckAllarmiAddMixer                                       |
PLCTAG_AckAllarmiAddLegante                                     |
PLCTAG_AckAllarmiAddSacchi                                      |
PLCTAG_AckAllarmiSiwaBatch                                      |
PLCTAG_AckAllarmiAcqua                                          |
PLCTAG_AckAllarmiDisp6                                          |
PLCTAG_AckAllarmiDisp7                                          |
PLCTAG_AckAllarmiMixer                                          |
PLCTAG_AckAllarmiBenna                                          |
PLCTAG_SospensionePesate                                        |
PLCTAG_MixerPienoAmpere                                         |
PLCTAG_BennaPienaAmpere                                         |
PLCTAG_ImpCambioAlVoloDos                                       |Impulso di cambio ricetta se il dosaggio non é attivo
PLCTAG_F_WatchdogPC                                             |db46.dbx388.0
PLCTAG_F_AbilPortineManuali                                     |
PLCTAG_StartDosaggio                                            |
PLCTAG_StartImpProlungato                                       |
PLCTAG_OkStartDosaggio                                          |
PLCTAG_StopDosaggio                                             |
PLCTAG_Abort                                                    |
PLCTAG_MemAbort                                                 |
PLCTAG_TrasfDatiPlcDosaggio                                     |
PLCTAG_PrenotaCambioRicDos                                      |
PLCTAG_MemTrasfPlcScarico                                       |
PLCTAG_AckFuoriTollSca                                          |Accettazione fuori tolleranza bilance in pesata
PLCTAG_AckFuoriTollPes                                          |Accettazione fuori tolleranza bilance in scarico
PLCTAG_AzzeramentoTotaliParz                                    |
PLCTAG_AzzeramentoTotaliGen                                     |
PLCTAG_MemPesAggrInCorso                                        |
PLCTAG_DI_EsclusioneStampa                                      |
PLCTAG_DO_DosaggioInCorso                                       |DBX390.1
PLCTAG_DO_emergenza                                             |
PLCTAG_DO_LampadaStopInCorso                                    |
PLCTAG_DI_AlarmReset                                            |
PLCTAG_DO_RicettaCoerente                                       |
PLCTAG_DO_StampaIntestazione                                    |
PLCTAG_DO_AllarmeSirenaSilo                                     |
PLCTAG_DO_AllarmeAcustico                                       |
PLCTAG_DO_AllarmeVisivo                                         |
PLCTAG_MemTrasfDatiPLCcar                                       |Riservato al PLC
PLCTAG_DI_TermPompaSpruzzLegante                                |
PLCTAG_DI_TermCocleaPesataF1..3                                 |
PLCTAG_DI_TermicaComune                                         |
PLCTAG_DI_RitornoCocleaPesataF2                                 |DBX392.0
PLCTAG_DeflettoreVaglioManuale                                  |
PLCTAG_DO_Dest_Trop_Pieno_F1F2                                  |
PLCTAG_DI_Dest_trop_Pieno_F1                                    |
PLCTAG_DO_PesataAggNV2                                          |
PLCTAG_MemTorSelRicNV2                                          |
PLCTAG_DO_LampScarMixPronto                                     |DB46.DBX392.6
PLCTAG_DI_TermVentPulizPirom                                    |DB46.DBX392.7  Termica ventola pulizia pirometro
PLCTAG_DI_TermVentCentrIdr                                      |DB46.DBX393.0  Termica ventola centralina idraulica
PLCTAG_DI_TermInverterTamburo                                   |DB46.DBX393.1  Termica inverter tamburo
PLCTAG_DI_TermInverterFiltro                                    |DB46.DBX393.2  Termica inverter filtro
PLCTAG_DI_PressInsufComprBrucNONUSARE                           |DB46.DBX393.3  Pressione insufficiente compressore bruciatore
PLCTAG_DI_TermBennaTraslata                                     |DB46.DBX393.4  Termica benna traslata
PLCTAG_DI_AllTenutaValvoleOCNONUSARE                            |DB46.DBX393.5  Allarme tenuta valvole olio combustibile
PLCTAG_DI_RitornoCocleaPesataF1                                 |
PLCTAG_DI_RitornoCocleaPesataF3                                 |
PLCTAG_DO_TorScambiovaglio                                      |db46.dbx416.0 (NEW MOTORS)
PLCTAG_DI_TorVagliato                                           |
PLCTAG_DI_TorNonVagliato                                        |
PLCTAG_DO_TorAttNpRifiuti                                       |Attuatore non passa rifiuti torre
PLCTAG_DI_TorAttNpRifGr                                         |Attuatore non passa rifiuti in posizione su grosso
PLCTAG_DI_TorAttNpRifRf                                         |Attuatore non passa rifiuti in posizione su rifiuti
PLCTAG_DI_TorAttNpRifTer                                        |Termica attuatore non passa rifiuti torre
PLCTAG_DI_TorMemApPortMan                                       |Memoria di avvenuta pesatura forzata durante il ciclo automatico
PLCTAG_DI_TorBassaPress                                         |Bassa pressione aria impianto
PLCTAG_DI_TorRiscTramNVTer                                      |Termica riscaldamento tramoggia non vagliato
PLCTAG_DI_TorLivMinTramRic                                      |Livello minimo tramoggia di pesatura riciclato freddo
PLCTAG_DI_TorLivMaxTramRic                                      |Livello massimo tramoggia di pesatura riciclato freddo
PLCTAG_DI_TorLivMaxNP                                           |Livello massimo tramoggia Non Passa
PLCTAG_DI_TorTermFrenoVaglio                                    |                                                                                      20150818
PLCTAG_AI_TorTempTorre2_Sabbia                                  |
PLCTAG_AI_TorTempLegante                                        |
PLCTAG_AI_TorPressioneAria                                      |
PLCTAG_DI_TorLivMinTamponeF1..3                                 |Livello minimo tramoggia tampone filler recupero
PLCTAG_DI_TorLivMaxTamponeF1..3                                 |Livello minimo tramoggia tampone filler recupero
PLCTAG_DI_TorLivMinAgg1..8                                      |db46.dbx424.6
PLCTAG_DI_TorLivMedAgg1..8                                      |
PLCTAG_DI_TorLivMaxAgg1..8                                      |
PLCTAG_AI_TorLivAgg1..8                                         |
PLCTAG_DI_TorLivMinAggNV                                        |
PLCTAG_DI_TorLivMedAggNV                                        |
PLCTAG_DI_TorLivMaxAggNV                                        |
PLCTAG_AI_TorLivAggNV                                           |
PLCTAG_DO_MixAttAspFumi                                         |db46.dbx460.0
PLCTAG_DI_MixAttAspFumiCh                                       |
PLCTAG_DI_MixAttAspFumiAp                                       |
PLCTAG_DI_MixAttAspFumiTer                                      |Termica valvola aspirazione fumi mixer
PLCTAG_DO_MixIngrassatore                                       |
PLCTAG_DI_MixIngrLivMinimo                                      |
PLCTAG_DI_MixIngrassatore2                                      |
PLCTAG_DI_MixIngrassatoreTer                                    |Termica ingrassatore mixer
PLCTAG_DO_TorDeflettore_2_Tramoggioni                           |
PLCTAG_DI_TorDeflettore_2_FC_tram2                              |
PLCTAG_DI_TorDeflettore_2_FC_tram3                              |
PLCTAG_DI_Pompa_Soft_Ritorno                                    |
PLCTAG_DI_Pompa_Soft_Termica                                    |
PLCTAG_DI_Pompa_Soft_Ritorno_Inversione                         |
PLCTAG_AI_MixTempscarico                                        |
PLCTAG_AI_TorTempBacinLeg                                       |
PLCTAG_AI_TorTempLegante2                                       |
PLCTAG_AI_TorTempTuboLeg1                                       |
PLCTAG_AI_TorTempTuboLeg2                                       |
PLCTAG_AI_TorTempTorre1_NV                                      |
PLCTAG_AI_TorTempTorre3                                         |
PLCTAG_AI_TorTempTorre4                                         |
PLCTAG_AI_TorTempTorre5                                         |
PLCTAG_AI_TorTempTorre6                                         |
PLCTAG_AI_TorTempTorre7                                         |
PLCTAG_AI_TorTempTuboLeg3                                       |DB46.DBW476
PLCTAG_AI_PompaEmulsioneTemp                                    |
PLCTAG_TrasfDatiPlcPredosag                                     |
PLCTAG_DI_MarciaPredosatHOLD                                    |Marcia arresto predosatori (va tenuto TRUE per lasciarli accesi)
PLCTAG_DI_StopPredosatImmed                                     |Arresto immediato dei predosatori
PLCTAG_DI_PredInManuale                                         |
PLCTAG_En_ArrestoPredFinePrd                                    |Abilitazione arresto predosatori a fine produzione
PLCTAG_AI_PesoNastroInerti                                      |
PLCTAG_AI_PesoNastroRiciclat                                    |
PLCTAG_DO_NastrinoRiciclatoAnello2Elevatore                     |
PLCTAG_DI_NastrinoRiciclatoAnello2Elevatore                     |
PLCTAG_DO_SirenaPredosatoreVuoto                                |
PLCTAG_DI_PredosatoriTermica                                    |
PLCTAG_AI_BrucModRic                                            |
PLCTAG_DI_TermVibratoriPred                                     |DB46.DBX592.0
PLCTAG_DI_TermVibratoriPRic                                     |DB46.DBX592.1
PLCTAG_DO_Predosatore1..16                                      |Set Predosatore 1..16
PLCTAG_DI_RitPredosatore1..16                                   |Get Ritorno Predosatore 1..16
PLCTAG_DI_TermPredosatore1..16                                  |Get Termica Predosatore 1..16
PLCTAG_DI_AllPred1..16                                          |Get Allarme Predosatore 1..16
PLCTAG_DI_PalpatorePred1..16                                    |Get Palpatore Predosatore 1..16
PLCTAG_DI_LivMinPred1..16                                       |Get Livello Minimo Predosatore 1..16
PLCTAG_DO_VibratoreP1..16                                       |Set Vibratore Predosatore 1..16
PLCTAG_DI_VibratoreP1..16                                       |Get Vibratore Predosatore 1..16
PLCTAG_DO_LampadaP1..16                                         |Set Lampada Predosatore 1..16
PLCTAG_AO_SetPredosatore1..16                                   |Set Predosatore 1..16
PLCTAG_AI_RitPredosatore1..16                                   |Get Ritorno Predosatore 1..16
PLCTAG_AI_LivPredosatore1..16                                   |Get Livello Predosatore 1..16
PLCTAG_DO_Riciclato1..16                                        |Set Riciclato 1..10
PLCTAG_DI_RitRiciclato1..16                                     |Get Rit Riciclato 1..10
PLCTAG_DI_TermRiciclato1..16                                    |Get Term Riciclato 1..10
